ID_person,name,vizier,set,mean,std,max,min,max-min,step_glm_v1,step_nn_v1,lasso_glm_v1,lasso_nn_v1,ridge_glm_v1,ridge_nn_v1,step_glm_v2,step_nn_v2,lasso_glm_v2,lasso_nn_v2,ridge_glm_v2,ridge_nn_v2
1686,,1,Train,0.9074883257318422,0.09688018077076703,0.9992245435714722,0.09688018077076703,0.9023443628007052,0.9552379589992585,0.9337167,0.860121563804361,0.99922454,0.699725277498111,0.959366,0.9552379589992585,0.977725,0.8614636362558548,0.9873986,0.7260392233883795,0.97460335
4582,Mn-anx-Ppy : Mni,0,Train,0.1516599177206259,0.2081250020968475,0.6895045042037964,0.002194509059601022,0.6873099951441953,0.002194509059601022,0.036383927,0.007810074835209236,0.08439425,0.021332504616749952,0.2462935,0.002194509059601022,0.6895045,0.006083336812573598,0.31881297,0.019297201437489787,0.38561773
538,Mry-nTr-Izi,0,Train,0.01900243212749388,0.018009826155138593,0.0509859099984169,0.002194509059601022,0.04879140093881588,0.002194509059601022,0.036383927,0.00305170030624361,0.016116682,0.006348108758902102,0.035230678,0.002194509059601022,0.017464228,0.0030022096084311076,0.05098591,0.006172134655908031,0.04888459
4860,,0,Train,0.018944428714034133,0.017950728447375518,0.050632230937480927,0.002194509059601022,0.048437721877879904,0.002194509059601022,0.036383927,0.00305170030624361,0.016116682,0.006348108758902102,0.035230678,0.002194509059601022,0.017196797,0.0030022096084311076,0.05063223,0.006164922222318422,0.04881687
2759,,0,Train,0.019082015080710783,0.01879035375394555,0.05278033763170242,0.002194509059601022,0.0505858285721014,0.002194509059601022,0.036383927,0.00305170030624361,0.016116682,0.006348108758902102,0.035230678,0.002194509059601022,0.013356958,0.0030022096084311076,0.052057303,0.006267258587819833,0.052780338
273,,0,Train,0.022199497184752687,0.022719879156007032,0.06520334631204605,0.002194509059601022,0.06300883725244504,0.002194509059601022,0.036383927,0.00305170030624361,0.016116682,0.0070383379461073795,0.053596336,0.002194509059601022,0.015344752,0.0030022096084311076,0.055102117,0.007165538863552025,0.06520335
1711,,0,Train,0.020734285162517595,0.020550505048386652,0.0611170269548893,0.002194509059601022,0.058922517895288275,0.002194509059601022,0.036383927,0.00305170030624361,0.016116682,0.006480023706568702,0.043745764,0.002194509059601022,0.017342137,0.0030022096084311076,0.050824814,0.006358119628954171,0.061117027
4205,IAzn,0,Train,0.022408349798476168,0.023651934528710748,0.07191188633441925,0.002194509059601022,0.06971737727481823,0.002194509059601022,0.036383927,0.00305170030624361,0.016116682,0.007073649153716594,0.058944847,0.002194509059601022,0.014483618,0.0030022096084311076,0.046621367,0.006921292362461546,0.07191189
3562,KAy,0,Train,0.02072093447988388,0.020538939841104466,0.0611010417342186,0.002194509059601022,0.058906532674617575,0.002194509059601022,0.036383927,0.00305170030624361,0.016116682,0.006480023706568702,0.043745764,0.002194509059601022,0.017280795,0.0030022096084311076,0.05074364,0.006356413226323388,0.06110104
783,6y,0,Train,0.019015756040102905,0.01872065628839685,0.052673760801553726,0.002194509059601022,0.0504792517419527,0.002194509059601022,0.036383927,0.00305170030624361,0.016116682,0.006348108758902102,0.035230678,0.002194509059601022,0.013096448,0.0030022096084311076,0.0516386,0.006257940484341124,0.05267376
